Crops,Year,Tonnes,US$1000,TempChange
Maize,1999,239548580,17247498,0.755
Soybeans,1999,72223460,12277988,0.755
Wheat,1999,62567284,5693623,0.755
Maize,2000,251853900,18385335,1.0
Soybeans,2000,75055290,12534233,1.0
Wheat,2000,60639376,5821380,1.0
Maize,2001,241376650,18827379,0.784
Soybeans,2001,78671470,12666107,0.784
Wheat,2001,52999932,5405993,0.784
Maize,2002,227766880,20726786,0.953
Soybeans,2002,75010030,15227036,0.953
Wheat,2002,43703968,5725220,0.953
Maize,2003,256229020,24341757,0.992
Soybeans,2003,66782720,18031334,0.992
Wheat,2003,63803256,7975407,0.992
Maize,2004,299875570,24289921,0.866
Soybeans,2004,85015630,17938298,0.866
Wheat,2004,58697040,7337130,0.866
Maize,2005,282262550,22298741,1.157
Soybeans,2005,83506580,17369369,1.157
Wheat,2005,57241992,7212491,1.157
Maize,2006,267502850,32100342,1.028
Soybeans,2006,87000620,20532146,1.028
Wheat,2006,49216040,7726918,1.028
Maize,2007,331177280,54644251,1.147
Soybeans,2007,72859180,27030756,1.147
Wheat,2007,55820360,13285246,1.147
Maize,2008,305911450,48945832,0.215
Soybeans,2008,80748700,29554024,0.215
Wheat,2008,68016096,16936008,0.215
Maize,2009,331921050,46468947,0.399
Soybeans,2009,91469550,32197282,0.399
Wheat,2009,60365728,10805465,0.399
Maize,2010,315617920,64386056,0.694
Soybeans,2010,90663290,37625265,0.694
Wheat,2010,60062408,12553043,0.694
Maize,2011,312788890,76633278,0.539
Soybeans,2011,84291400,38689753,0.539
Wheat,2011,54418808,14475403,0.539
Maize,2012,273192400,74035140,1.451
Soybeans,2012,82790870,43796370,1.451
Wheat,2012,61677384,17639732,1.451
Maize,2013,351271870,61823849,0.618
Soybeans,2013,91389350,43684109,0.618
Wheat,2013,58104610,14642362,0.618
Maize,2014,361091140,52719306,0.504
Soybeans,2014,106877870,39651690,0.504
Wheat,2014,55147120,12132366,0.504
Maize,2015,345486340,49059060,1.534
Soybeans,2015,106953940,35187846,1.534
Wheat,2015,55839540,10051117,1.534
Maize,2016,412262180,54418608,2.229
Soybeans,2016,116931500,40692162,2.229
Wheat,2016,62831507,8984906,2.229
Maize,2017,371096030,48984676,1.437
Soybeans,2017,120064970,41062220,1.437
Wheat,2017,47379810,8196707,1.437
Maize,2018,364262150,51725225,1.278
Soybeans,2018,120514490,37480006,1.278
Wheat,2018,51305540,9696747,1.278
Maize,2019,345962110,52404183,1.04
Soybeans,2019,96667090,31070611,1.04
Wheat,2019,52580890,8727023,1.04
